"wn","VIP","PC1","PC2","PLS_p1","PLS_p2"
1363.16,0.065153,0.001526,-0.005754,-0.001511,0.016011
1365.44,0.081499,0.003108,-0.004414,-0.003101,0.007714
1367.73,0.072462,0.00256,-0.005471,-0.002558,0.002593
1370.01,0.074817,0.001028,-0.007012,-0.001022,0.006381
1372.29,0.075841,0.001141,-0.015289,-0.001128,0.013986
1374.58,0.091483,0.003525,-0.013005,-0.003517,0.009695
1376.85,0.152201,0.006065,-0.006684,-0.006059,0.007597
1379.13,0.231466,0.009208,-0.009182,-0.009194,0.01702
1381.41,0.327986,0.013086,-0.006339,-0.013073,0.017665
1383.69,0.345098,0.013674,0.006636,-0.013674,0.00518
1385.96,0.274315,0.010711,0.017444,-0.010721,-0.006735
1388.23,0.215346,0.008149,0.018331,-0.008162,-0.010355
1390.5,0.187924,0.006661,0.017828,-0.006676,-0.012441
1392.77,0.128123,0.004326,0.021844,-0.004342,-0.014587
1395.04,0.056857,0.002185,0.013666,-0.002189,-0.002183
1397.31,0.102853,0.001934,-0.000846,-0.001919,0.015847
1399.58,0.118648,0.001913,-0.003042,-0.001895,0.019607
1401.84,0.094307,0.002131,0.002594,-0.002118,0.014531
1404.1,0.066112,0.002633,0.006269,-0.002628,0.005911
1406.37,0.096226,0.002477,0.011414,-0.002487,-0.008953
1408.63,0.150616,0.00185,0.023517,-0.001879,-0.028984
1410.89,0.164258,0.000797,0.031374,-0.000839,-0.042063
1413.14,0.10698,0.000648,0.026113,-0.000686,-0.037235
1415.4,0.036654,0.00032,0.023563,-0.000351,-0.030587
1417.66,0.029375,-0.000981,0.025143,0.000954,-0.026547
1419.91,0.068588,-0.000958,0.017716,0.000945,-0.012642
1422.16,0.091162,0.000937,0.005465,-0.000933,0.004734
1424.41,0.13125,0.00393,-0.007566,-0.003915,0.016394
1426.66,0.15983,0.005849,-0.011269,-0.005834,0.017435
1428.91,0.170062,0.006509,-0.008275,-0.006499,0.012201
1431.16,0.16493,0.006374,-0.00782,-0.006369,0.007172
1433.4,0.119131,0.004652,-0.005305,-0.004654,-0.000662
1435.65,0.058485,0.002279,-0.001171,-0.002286,-0.006463
1437.89,0.029057,0.001149,0.002139,-0.001157,-0.006847
1440.13,0.058278,0.002213,0.005373,-0.00222,-0.006062
1442.37,0.125897,0.004176,0.011022,-0.00419,-0.01276
1444.61,0.160297,0.005214,0.01821,-0.005235,-0.019337
1446.85,0.145504,0.0051,0.02097,-0.005122,-0.020736
1449.09,0.129003,0.004506,0.021627,-0.004531,-0.023908
1451.32,0.142984,0.004822,0.018909,-0.004847,-0.023864
1453.56,0.167262,0.00556,0.017068,-0.005584,-0.021897
1455.79,0.175373,0.006255,0.018641,-0.006276,-0.018597
1458.02,0.157716,0.00599,0.023775,-0.006009,-0.017129
1460.25,0.159423,0.005784,0.031303,-0.00581,-0.02426
1462.48,0.138806,0.005336,0.024218,-0.005354,-0.01573
1464.71,0.094855,0.003685,0.014905,-0.003689,-0.002624
1466.93,0.075098,0.002153,0.008387,-0.00215,0.004391
1469.16,0.066386,0.000522,-0.003288,-0.000508,0.014278
